shipment_id,source_warehouse,destination_region,carrier,dispatch_date,expected_delivery_days,actual_delivery_days,delay_flag,logistics_cost
SHIP0002034,WH01,SOUTH,BlueDart,2022-10-02,5,1,1,500
SHIP0002035,WH02,SOUTH,BlueDart,2022-09-05,5,,,15000
SHIP0002036,,SOUTH,FedEx,2024-08-09,2,,,500
SHIP0002037,,north ,Delhivery,2022-08-22,2,25,0,-100
SHIP0002038,wh-02,north ,BlueDart,2023-03-03,5,25,1,
SHIP0002039,WH02,SOUTH,Delhivery,2024-01-20,7,10,1,15000
SHIP0002040,wh-02,north ,,2024-11-25,7,10,,2000
SHIP0002041,,,BlueDart,2024-01-03,2,3,1,2000
SHIP0002042,WH01,SOUTH,Delhivery,2023-04-21,,10,0,
SHIP0002043,,north ,FedEx,2023-12-20,2,1,,2000
SHIP0002044,wh-02,SOUTH,BlueDart,2022-08-10,2,,1,
SHIP0002045,,SOUTH,Delhivery,2022-03-03,7,,0,-100
SHIP0002046,,SOUTH,FedEx,2022-04-20,5,3,1,2000
SHIP0002047,,SOUTH,FedEx,2024-06-21,7,10,0,500
SHIP0002048,,north ,Delhivery,2023-04-09,2,25,0,-100
SHIP0002049,,north ,DHL,2023-08-11,2,3,0,2000
SHIP0002050,,SOUTH,BlueDart,2023-04-07,,1,1,500
SHIP0002051,wh-02,North,BlueDart,2023-09-21,7,,1,
SHIP0002052,WH02,north ,,2022-06-20,7,10,1,-100
SHIP0002053,,SOUTH,DHL,2023-03-27,2,3,,-100
SHIP0002054,WH01,SOUTH,FedEx,2023-08-03,7,1,,-100
SHIP0002055,WH02,,Delhivery,2024-04-27,,1,,500
SHIP0002056,,,BlueDart,2023-08-11,,,1,2000
SHIP0002057,wh-02,SOUTH,FedEx,2023-09-15,,,1,
SHIP0002058,WH01,,Delhivery,2022-04-03,7,1,,15000
SHIP0002059,,North,DHL,2023-08-28,2,3,0,2000
SHIP0002060,WH02,North,,2024-08-26,2,,1,-100
SHIP0002061,WH02,,,2022-08-09,,25,0,500
SHIP0002062,WH01,,FedEx,2022-08-29,7,10,0,500
SHIP0002063,wh-02,SOUTH,DHL,2024-02-18,7,25,0,15000
SHIP0002064,WH01,north ,DHL,2022-12-29,,25,0,-100
SHIP0002065,,North,FedEx,2023-06-30,2,3,,2000
SHIP0002066,WH02,North,,2024-07-26,2,,1,
SHIP0002067,,north ,Delhivery,2022-11-04,,25,1,
SHIP0002068,WH01,North,FedEx,2024-07-28,5,1,0,15000
SHIP0002069,WH02,North,,2022-11-22,7,10,,500
SHIP0002070,WH01,,Delhivery,2024-08-29,,25,0,
SHIP0002071,WH01,,FedEx,2024-03-25,5,,1,2000
SHIP0002072,WH01,SOUTH,BlueDart,2022-03-29,5,3,0,-100
SHIP0002073,WH02,SOUTH,,2024-08-06,2,1,0,2000
SHIP0002074,wh-02,,,2024-08-13,2,,0,500
SHIP0002075,WH01,SOUTH,Delhivery,2023-09-30,,3,0,-100
SHIP0002076,,SOUTH,Delhivery,2023-05-24,2,25,,500
SHIP0002077,WH01,north ,,2023-11-19,5,25,1,
SHIP0002078,wh-02,north ,,2023-02-04,5,25,1,15000
SHIP0002079,WH01,,FedEx,2024-02-19,,25,1,
SHIP0002080,,North,BlueDart,2022-12-13,2,1,0,2000
SHIP0002081,,north ,,2024-02-18,5,1,1,500
SHIP0002082,,,Delhivery,2024-10-01,2,1,,15000
SHIP0002083,WH01,north ,BlueDart,2022-11-13,7,25,0,-100
SHIP0002084,wh-02,North,BlueDart,2023-09-11,2,,,-100
SHIP0002085,wh-02,north ,Delhivery,2022-02-16,5,3,1,500
SHIP0002086,WH01,north ,Delhivery,2024-08-12,7,3,,-100
SHIP0002087,wh-02,,,2022-02-20,5,25,0,500
SHIP0002088,,,Delhivery,2022-11-12,7,10,1,500
SHIP0002089,WH02,north ,Delhivery,2022-12-15,5,,,2000
SHIP0002090,WH02,North,Delhivery,2023-02-11,5,3,0,500
SHIP0002091,WH02,North,FedEx,2024-08-28,,1,0,15000
SHIP0002092,,SOUTH,FedEx,2023-01-04,7,10,,
SHIP0002093,WH02,North,BlueDart,2022-05-22,5,3,0,
SHIP0002094,wh-02,north ,DHL,2023-11-27,,1,0,15000
SHIP0002095,WH02,north ,Delhivery,2022-01-13,5,,0,15000
SHIP0002096,,north ,DHL,2022-04-27,5,,0,-100
SHIP0002097,WH01,SOUTH,,2023-11-18,5,3,1,2000
SHIP0002098,wh-02,north ,Delhivery,2024-05-18,2,25,,15000
SHIP0002099,WH01,North,Delhivery,2024-07-03,,10,1,15000
SHIP0002100,,SOUTH,,2023-12-23,7,25,1,-100
SHIP0002101,WH02,North,DHL,2023-04-29,,25,,500
SHIP0002102,WH01,SOUTH,BlueDart,2022-10-04,,25,1,15000
SHIP0002103,wh-02,,BlueDart,2023-10-26,2,25,,-100
SHIP0002104,WH01,North,,2023-02-06,5,,0,15000
SHIP0002105,WH02,SOUTH,DHL,2023-11-06,5,,,-100
SHIP0002106,WH02,SOUTH,BlueDart,2024-12-24,2,25,0,2000
SHIP0002107,WH02,SOUTH,DHL,2023-05-23,5,3,0,-100
SHIP0002108,,north ,Delhivery,2022-07-04,5,25,0,-100
SHIP0002109,WH01,SOUTH,,2024-06-15,2,1,,15000
SHIP0002110,,north ,BlueDart,2023-01-26,2,,1,
SHIP0002111,WH02,North,FedEx,2024-05-24,,10,0,-100
SHIP0002112,WH02,North,Delhivery,2023-01-19,5,10,1,-100
SHIP0002113,WH02,,FedEx,2024-08-08,7,1,0,15000
SHIP0002114,WH01,,DHL,2022-10-23,2,10,,2000
SHIP0002115,wh-02,North,BlueDart,2023-08-04,7,25,1,15000
SHIP0002116,,,Delhivery,2022-06-18,2,1,,15000
SHIP0002117,WH01,,,2023-05-19,2,1,0,-100
SHIP0002118,WH01,SOUTH,Delhivery,2023-11-12,2,10,1,
SHIP0002119,wh-02,SOUTH,Delhivery,2024-08-06,,1,0,15000
SHIP0002120,,,FedEx,2022-03-10,,3,0,
SHIP0002121,,North,FedEx,2022-05-08,2,,0,500
SHIP0002122,wh-02,SOUTH,Delhivery,2023-07-04,5,10,1,15000
SHIP0002123,,north ,,2022-11-03,5,25,0,2000
SHIP0002124,wh-02,North,FedEx,2024-09-06,7,10,0,15000
SHIP0002125,WH02,,,2023-02-27,5,1,0,
SHIP0002126,wh-02,,DHL,2024-09-21,7,1,0,-100
SHIP0002127,WH01,North,BlueDart,2023-05-13,5,1,1,-100
SHIP0002128,WH01,north ,DHL,2024-02-10,2,25,,-100
SHIP0002129,wh-02,,BlueDart,2024-05-08,,1,,15000
SHIP0002130,WH01,,BlueDart,2022-04-30,2,3,,
SHIP0002131,WH01,SOUTH,FedEx,2024-04-08,5,25,1,2000
SHIP0002132,,North,DHL,2022-09-15,,10,,15000
SHIP0002133,WH01,,BlueDart,2023-05-19,5,10,,15000
SHIP0002134,,,FedEx,2022-07-27,,3,,500
SHIP0002135,WH02,SOUTH,Delhivery,2024-10-12,5,,,2000
SHIP0002136,WH01,,FedEx,2023-01-20,7,25,,15000
SHIP0002137,wh-02,North,,2022-11-27,5,3,,
SHIP0002138,WH01,north ,FedEx,2022-02-26,2,1,1,2000
SHIP0002139,WH01,North,DHL,2023-04-14,2,25,,
SHIP0002140,wh-02,North,DHL,2024-11-13,7,,,15000
SHIP0002141,,,DHL,2024-11-15,2,,,
SHIP0002142,wh-02,north ,FedEx,2023-02-14,2,25,0,500
SHIP0002143,,North,Delhivery,2023-10-27,,3,,-100
SHIP0002144,WH02,,,2023-01-07,7,1,,500
SHIP0002145,,SOUTH,BlueDart,2022-03-19,2,10,1,-100
SHIP0002146,WH01,,BlueDart,2023-10-12,2,25,1,-100
SHIP0002147,wh-02,SOUTH,DHL,2024-10-12,,1,0,-100
SHIP0002148,WH02,North,,2022-05-27,5,25,0,2000
SHIP0002149,WH01,SOUTH,,2022-03-28,7,1,,
SHIP0002150,WH02,SOUTH,FedEx,2022-05-04,2,10,1,500
SHIP0002151,,north ,DHL,2023-09-29,,10,1,
SHIP0002152,WH02,,BlueDart,2024-06-18,7,25,,15000
SHIP0002153,WH02,SOUTH,BlueDart,2023-09-23,,3,1,500
SHIP0002154,,SOUTH,Delhivery,2024-03-11,7,10,,500
SHIP0002155,WH02,North,BlueDart,2022-03-13,2,1,1,15000
SHIP0002156,WH01,,FedEx,2022-02-04,5,10,0,2000
SHIP0002157,wh-02,,FedEx,2024-08-02,2,1,,
SHIP0002158,WH02,SOUTH,Delhivery,2023-02-04,,10,,
SHIP0002159,,SOUTH,,2023-03-12,5,10,,500
SHIP0002160,WH02,,Delhivery,2024-04-23,7,,1,
SHIP0002161,WH01,SOUTH,FedEx,2023-09-14,,1,1,2000
SHIP0002162,,,,2022-02-01,,3,0,500
SHIP0002163,wh-02,north ,BlueDart,2023-03-03,5,3,1,15000
SHIP0002164,,North,FedEx,2023-04-27,7,3,1,
SHIP0002165,WH02,North,Delhivery,2023-05-23,7,3,1,
SHIP0002166,WH02,north ,DHL,2022-02-13,5,1,1,
SHIP0002167,,,,2022-04-13,7,1,0,
SHIP0002168,,North,,2024-09-23,5,25,0,15000
SHIP0002169,WH02,north ,,2022-05-15,7,25,0,
SHIP0002170,WH01,North,BlueDart,2024-03-04,5,10,,
SHIP0002171,,north ,Delhivery,2024-12-25,2,10,1,
SHIP0002172,WH02,SOUTH,FedEx,2022-09-10,2,3,0,2000
SHIP0002173,WH01,North,FedEx,2024-09-08,7,1,1,-100
SHIP0002174,WH01,SOUTH,BlueDart,2022-09-04,5,3,1,15000
SHIP0002175,wh-02,,Delhivery,2023-11-21,7,10,0,15000
SHIP0002176,WH02,,Delhivery,2024-11-26,7,25,1,2000
SHIP0002177,wh-02,North,DHL,2024-11-21,5,,1,2000
SHIP0002178,WH02,North,BlueDart,2022-02-07,5,,1,-100
SHIP0002179,wh-02,north ,DHL,2024-12-19,5,25,0,
SHIP0002180,WH02,SOUTH,FedEx,2023-11-07,2,25,,-100
SHIP0002181,,,,2023-06-27,7,1,,2000
SHIP0002182,wh-02,north ,BlueDart,2024-03-18,7,10,1,
SHIP0002183,WH01,north ,BlueDart,2023-09-21,2,10,,-100
SHIP0002184,wh-02,North,FedEx,2023-02-18,,10,0,15000
SHIP0002185,,,DHL,2023-03-09,,,,500
SHIP0002186,WH02,north ,,2023-10-16,2,,1,15000
SHIP0002187,WH01,,BlueDart,2024-02-05,5,1,0,15000
SHIP0002188,,,DHL,2023-04-06,2,25,0,
SHIP0002189,,North,DHL,2022-12-24,7,10,1,15000
SHIP0002190,WH02,,FedEx,2024-04-03,,3,1,500
SHIP0002191,,north ,DHL,2023-03-19,,10,0,15000
SHIP0002192,,North,DHL,2023-10-20,5,3,1,
SHIP0002193,,north ,,2023-05-22,7,3,,2000
SHIP0002194,wh-02,North,,2023-09-22,2,25,1,
SHIP0002195,WH01,North,BlueDart,2023-12-06,7,25,,2000
SHIP0002196,wh-02,,BlueDart,2023-12-01,,,,500
SHIP0002197,,north ,Delhivery,2024-12-23,,1,,
SHIP0002198,,north ,FedEx,2022-02-13,5,1,1,500
SHIP0002199,wh-02,SOUTH,,2023-09-08,2,1,,500
SHIP0002200,,,DHL,2023-01-21,2,10,1,
SHIP0002201,,,FedEx,2024-10-05,,10,0,
SHIP0002202,wh-02,north ,DHL,2023-07-26,2,3,,2000
SHIP0002203,WH02,,BlueDart,2022-02-24,7,10,1,
SHIP0002204,,north ,,2024-09-13,,10,1,
SHIP0002205,wh-02,SOUTH,,2024-12-23,,3,,15000
SHIP0002206,WH01,north ,,2023-12-11,7,3,0,2000
SHIP0002207,,SOUTH,,2023-05-25,5,3,,15000
SHIP0002208,WH01,north ,DHL,2023-12-19,7,10,,
SHIP0002209,wh-02,North,Delhivery,2024-09-18,7,10,1,
SHIP0002210,,North,BlueDart,2024-04-10,,10,,500
SHIP0002211,WH01,North,Delhivery,2024-06-18,,25,1,2000
SHIP0002212,,north ,,2022-05-10,2,10,1,-100
SHIP0002213,wh-02,North,,2023-06-14,5,10,0,-100
SHIP0002214,WH02,north ,DHL,2024-02-07,7,10,,500
SHIP0002215,WH02,SOUTH,FedEx,2023-02-25,5,25,1,15000
SHIP0002216,WH01,north ,DHL,2023-01-18,,,,2000
SHIP0002217,WH01,,Delhivery,2023-07-14,,1,1,
SHIP0002218,wh-02,,,2024-01-06,5,1,,-100
SHIP0002219,WH02,north ,BlueDart,2023-07-22,5,1,,
SHIP0002220,,,,2023-08-16,7,10,0,-100
SHIP0002221,,North,BlueDart,2022-08-02,,,0,500
SHIP0002222,,North,BlueDart,2022-11-07,5,10,0,2000
SHIP0002223,WH02,,DHL,2022-02-26,,1,1,
SHIP0002224,wh-02,North,FedEx,2023-03-25,7,,,15000
SHIP0002225,WH02,SOUTH,,2022-06-27,5,3,0,-100
SHIP0002226,wh-02,,Delhivery,2024-05-28,,1,,500
SHIP0002227,WH01,SOUTH,DHL,2022-08-08,7,3,1,500
SHIP0002228,WH01,north ,DHL,2023-11-16,5,10,1,15000
SHIP0002229,wh-02,north ,Delhivery,2023-08-24,,25,1,2000
SHIP0002230,wh-02,SOUTH,BlueDart,2024-05-03,2,10,0,2000
SHIP0002231,wh-02,north ,,2023-12-13,7,,0,2000
SHIP0002232,wh-02,North,Delhivery,2024-06-16,7,25,,500
SHIP0002233,,,,2024-09-05,,3,0,2000
SHIP0002234,,north ,Delhivery,2024-07-07,5,,,500
SHIP0002235,WH01,North,DHL,2022-12-25,5,3,,15000
SHIP0002236,WH02,North,DHL,2024-04-21,5,10,0,-100
SHIP0002237,,north ,BlueDart,2024-09-17,7,10,1,15000
SHIP0002238,,north ,DHL,2024-03-24,2,1,1,-100
SHIP0002239,,SOUTH,Delhivery,2023-06-09,,10,0,500
SHIP0002240,wh-02,North,DHL,2022-12-29,7,10,1,15000
SHIP0002241,WH01,,DHL,2022-09-23,5,25,0,15000
SHIP0002242,WH02,SOUTH,Delhivery,2023-02-23,5,3,1,-100
SHIP0002243,,North,Delhivery,2022-10-23,,,1,2000
SHIP0002244,wh-02,SOUTH,,2023-01-14,2,25,1,15000
SHIP0002245,WH01,north ,Delhivery,2023-08-27,,1,1,2000
SHIP0002246,wh-02,SOUTH,FedEx,2024-03-06,2,3,0,
SHIP0002247,wh-02,SOUTH,DHL,2022-04-18,7,10,0,-100
SHIP0002248,wh-02,SOUTH,DHL,2024-09-16,7,3,0,2000
SHIP0002249,,,BlueDart,2022-05-26,2,1,0,2000
SHIP0002250,WH02,,DHL,2023-04-20,7,25,,15000
SHIP0002251,,SOUTH,BlueDart,2024-09-07,,10,,2000
SHIP0002252,WH01,,DHL,2024-06-19,2,25,,2000
SHIP0002253,wh-02,North,BlueDart,2023-03-12,,3,0,2000
SHIP0002254,WH02,north ,,2022-04-14,5,25,,2000
SHIP0002255,WH01,north ,FedEx,2022-03-14,7,1,1,2000
SHIP0002256,wh-02,,DHL,2024-09-11,7,25,0,500
SHIP0002257,WH01,North,,2024-03-17,5,1,0,500
SHIP0002258,wh-02,North,DHL,2024-09-06,5,,1,500
SHIP0002259,wh-02,SOUTH,FedEx,2023-02-28,5,25,0,15000
SHIP0002260,WH02,North,DHL,2022-09-03,5,10,0,2000
SHIP0002261,WH01,north ,FedEx,2024-01-17,,3,1,-100
SHIP0002262,,,,2023-04-23,7,10,0,500
SHIP0002263,,north ,FedEx,2022-01-31,5,3,1,-100
SHIP0002264,WH01,north ,FedEx,2024-10-28,5,25,0,-100
SHIP0002265,WH02,north ,BlueDart,2022-09-30,2,3,,15000
SHIP0002266,WH02,,DHL,2022-08-26,7,3,1,-100
SHIP0002267,,SOUTH,Delhivery,2024-04-06,2,,1,15000
SHIP0002268,WH01,,Delhivery,2023-08-05,,3,0,-100
SHIP0002269,WH01,North,FedEx,2023-02-21,,,0,500
SHIP0002270,WH02,North,,2024-05-15,5,10,0,-100
SHIP0002271,wh-02,SOUTH,Delhivery,2023-09-26,2,10,0,500
SHIP0002272,WH01,north ,DHL,2022-04-15,,25,0,2000
SHIP0002273,WH02,,BlueDart,2023-03-31,7,3,,2000
SHIP0002274,wh-02,,Delhivery,2023-03-30,5,1,1,15000
SHIP0002275,WH02,,DHL,2022-04-22,,10,,15000
SHIP0002276,,,,2024-08-22,2,10,0,-100
SHIP0002277,WH02,North,BlueDart,2022-11-02,5,1,1,
SHIP0002278,,SOUTH,,2023-09-14,2,3,0,
SHIP0002279,WH01,SOUTH,FedEx,2022-11-28,7,25,,-100
SHIP0002280,WH02,North,Delhivery,2023-10-07,5,10,0,-100
SHIP0002281,WH02,North,,2022-05-04,,,1,15000
SHIP0002282,WH01,,BlueDart,2022-07-20,7,1,1,500
SHIP0002283,WH02,north ,,2024-04-24,,10,0,
SHIP0002284,WH02,,FedEx,2022-11-05,,,0,2000
SHIP0002285,WH01,SOUTH,BlueDart,2023-06-17,,3,0,2000
SHIP0002286,,North,,2022-07-14,,10,,15000
SHIP0002287,wh-02,SOUTH,,2023-10-06,2,10,,
SHIP0002288,wh-02,north ,Delhivery,2022-04-11,2,10,0,15000
SHIP0002289,,SOUTH,DHL,2022-05-15,2,1,1,500
SHIP0002290,,,BlueDart,2023-05-04,5,,,
SHIP0002291,,North,FedEx,2023-08-26,,3,0,15000
SHIP0002292,WH01,,FedEx,2023-08-26,5,3,1,-100
SHIP0002293,,SOUTH,,2022-08-18,2,25,0,
SHIP0002294,wh-02,,DHL,2024-12-27,7,1,1,-100
SHIP0002295,WH02,North,BlueDart,2024-09-06,2,1,,15000
SHIP0002296,WH01,,BlueDart,2022-04-19,2,1,1,15000
SHIP0002297,,North,FedEx,2022-03-20,7,10,,-100
SHIP0002298,wh-02,SOUTH,Delhivery,2023-05-26,,10,1,15000
SHIP0002299,wh-02,North,FedEx,2024-05-11,,1,,
SHIP0002300,wh-02,north ,Delhivery,2023-01-06,5,10,0,2000
SHIP0002301,WH01,North,FedEx,2023-08-19,7,,,15000
SHIP0002302,WH02,,Delhivery,2022-08-18,7,1,0,500
SHIP0002303,wh-02,,DHL,2023-02-01,2,3,1,2000
SHIP0002304,WH01,North,Delhivery,2024-02-25,,3,,500
SHIP0002305,WH01,,FedEx,2023-08-24,2,,1,2000
SHIP0002306,,North,Delhivery,2024-02-20,5,1,1,
SHIP0002307,wh-02,,DHL,2023-05-19,7,10,0,
SHIP0002308,wh-02,SOUTH,FedEx,2023-10-04,,1,,2000
SHIP0002309,WH01,North,FedEx,2024-02-13,,,,15000
SHIP0002310,WH02,,FedEx,2023-03-31,7,25,1,-100
SHIP0002311,WH02,north ,Delhivery,2024-03-03,2,25,1,2000
SHIP0002312,WH02,North,BlueDart,2024-11-27,7,25,1,15000
SHIP0002313,,North,,2024-03-31,,1,0,-100
SHIP0002314,WH02,North,FedEx,2022-01-07,,25,,2000
SHIP0002315,wh-02,,FedEx,2022-10-10,2,1,1,2000
SHIP0002316,WH01,North,FedEx,2022-06-12,,,,500
SHIP0002317,wh-02,SOUTH,BlueDart,2023-01-25,2,3,0,
SHIP0002318,,north ,DHL,2023-05-29,7,25,1,-100
SHIP0002319,wh-02,,Delhivery,2023-04-21,7,1,,500
SHIP0002320,,,,2022-10-06,7,25,0,2000
SHIP0002321,WH01,North,FedEx,2022-10-31,,25,1,2000
SHIP0002322,wh-02,North,FedEx,2023-04-11,7,3,1,2000
SHIP0002323,wh-02,SOUTH,,2022-07-05,5,10,0,500
SHIP0002324,WH01,SOUTH,,2022-10-26,2,1,0,-100
SHIP0002325,,North,FedEx,2022-03-22,7,10,,-100
SHIP0002326,WH01,north ,FedEx,2023-10-06,5,,0,15000
SHIP0002327,wh-02,SOUTH,,2022-11-10,2,10,0,
SHIP0002328,WH01,SOUTH,Delhivery,2022-06-15,5,10,0,500
SHIP0002329,WH02,north ,DHL,2024-07-04,,,0,500
SHIP0002330,WH02,SOUTH,BlueDart,2023-01-21,,25,,
SHIP0002331,,,,2022-08-19,2,1,1,15000
SHIP0002332,WH02,,,2023-11-09,,,1,2000
SHIP0002333,WH02,north ,Delhivery,2024-10-25,5,,,
SHIP0002334,WH02,North,BlueDart,2024-07-12,5,1,1,500
SHIP0002335,WH01,,BlueDart,2024-06-14,,10,1,
SHIP0002336,wh-02,SOUTH,DHL,2024-05-17,,1,,
SHIP0002337,,north ,Delhivery,2023-07-05,7,25,1,500
SHIP0002338,WH01,north ,DHL,2024-08-11,,3,1,
SHIP0002339,,north ,FedEx,2022-11-26,7,,0,500
SHIP0002340,WH01,North,BlueDart,2022-03-29,5,3,,2000
SHIP0002341,,north ,DHL,2024-06-26,,,,15000
SHIP0002342,WH01,SOUTH,Delhivery,2022-10-24,7,3,,
SHIP0002343,wh-02,North,,2024-06-06,,10,0,-100
SHIP0002344,,SOUTH,DHL,2024-05-03,,,1,2000
SHIP0002345,,SOUTH,DHL,2024-03-28,7,3,,
SHIP0002346,WH02,SOUTH,DHL,2024-06-28,5,1,,2000
SHIP0002347,WH02,North,BlueDart,2023-11-17,7,10,,-100
SHIP0002348,WH01,North,Delhivery,2023-01-30,7,,,2000
SHIP0002349,,north ,FedEx,2022-05-07,,25,1,500
SHIP0002350,wh-02,North,FedEx,2024-02-13,,1,0,15000
SHIP0002351,WH01,SOUTH,BlueDart,2022-09-24,5,25,1,2000
SHIP0002352,,North,DHL,2023-12-29,2,1,1,15000
SHIP0002353,WH02,SOUTH,BlueDart,2022-03-04,,1,1,
SHIP0002354,WH02,,,2023-07-24,7,1,1,500
SHIP0002355,WH01,SOUTH,,2022-12-21,7,1,,500
SHIP0002356,WH02,north ,,2023-11-06,7,25,1,500
SHIP0002357,WH02,north ,DHL,2024-03-07,2,1,1,500
SHIP0002358,,north ,Delhivery,2023-01-08,7,1,1,500
SHIP0002359,WH01,North,Delhivery,2024-07-19,,3,0,2000
SHIP0002360,wh-02,SOUTH,FedEx,2022-12-29,,25,1,2000
SHIP0002361,wh-02,,,2024-08-11,7,25,,
SHIP0002362,WH01,,,2024-10-31,,10,0,500
SHIP0002363,WH01,SOUTH,DHL,2022-08-03,7,1,0,15000
SHIP0002364,,,DHL,2023-01-30,,10,0,-100
SHIP0002365,wh-02,,BlueDart,2022-09-21,2,25,0,2000
SHIP0002366,wh-02,North,,2023-11-21,7,25,,2000
SHIP0002367,WH02,SOUTH,BlueDart,2023-07-09,,1,1,
SHIP0002368,WH01,north ,,2024-09-22,5,3,1,
SHIP0002369,WH02,SOUTH,BlueDart,2023-06-26,2,3,0,
SHIP0002370,,north ,BlueDart,2022-01-22,2,3,1,2000
SHIP0002371,wh-02,,,2022-08-09,2,25,1,15000
SHIP0002372,WH02,SOUTH,BlueDart,2023-11-28,2,,,-100
SHIP0002373,,North,Delhivery,2022-04-16,,1,,2000
SHIP0002374,WH02,north ,BlueDart,2024-05-25,,1,0,
SHIP0002375,WH01,,Delhivery,2024-11-19,2,3,1,500
SHIP0002376,WH01,,FedEx,2022-07-28,7,25,1,500
SHIP0002377,WH02,north ,Delhivery,2024-04-14,2,,1,500
SHIP0002378,WH02,north ,FedEx,2022-05-19,5,25,,500
SHIP0002379,WH02,SOUTH,DHL,2023-04-28,2,3,0,15000
SHIP0002380,WH01,north ,DHL,2023-03-03,5,,,15000
SHIP0002381,WH01,SOUTH,BlueDart,2023-02-18,2,25,0,15000
SHIP0002382,WH01,north ,Delhivery,2023-05-07,2,,0,500
SHIP0002383,wh-02,north ,DHL,2023-10-12,,,1,2000
SHIP0002384,,North,DHL,2023-08-01,,,,-100
SHIP0002385,,,,2023-02-12,7,1,1,15000
SHIP0002386,WH02,SOUTH,,2022-11-01,,25,,500
SHIP0002387,,SOUTH,DHL,2022-12-03,2,1,1,-100
SHIP0002388,WH02,SOUTH,Delhivery,2022-06-02,7,,0,15000
SHIP0002389,,SOUTH,DHL,2024-12-29,,,,2000
SHIP0002390,wh-02,SOUTH,FedEx,2023-01-04,2,1,1,15000
SHIP0002391,WH01,,FedEx,2023-08-04,5,25,,15000
SHIP0002392,WH02,,,2023-10-10,,10,0,-100
SHIP0002393,,north ,BlueDart,2023-04-26,,25,1,-100
SHIP0002394,,,BlueDart,2022-01-09,5,3,0,
SHIP0002395,wh-02,north ,BlueDart,2022-06-21,,3,,500
SHIP0002396,,north ,BlueDart,2024-11-08,2,3,,2000
SHIP0002397,,SOUTH,BlueDart,2022-02-25,,10,1,-100
SHIP0002398,WH02,SOUTH,Delhivery,2023-01-15,,1,,2000
SHIP0002399,WH01,north ,,2024-11-30,,25,1,
SHIP0002400,WH02,north ,FedEx,2024-01-26,,1,1,500
SHIP0002401,WH01,north ,Delhivery,2022-11-11,,10,,15000
SHIP0002402,wh-02,,FedEx,2024-12-04,5,1,0,500
SHIP0002403,,north ,FedEx,2023-04-09,5,3,,
SHIP0002404,WH02,north ,DHL,2024-10-01,2,25,0,
SHIP0002405,WH01,,,2024-06-23,,1,,2000
SHIP0002406,wh-02,SOUTH,FedEx,2024-02-17,,1,,15000
SHIP0002407,WH01,north ,BlueDart,2023-10-26,5,3,,15000
SHIP0002408,WH02,SOUTH,Delhivery,2022-08-29,5,1,1,2000
SHIP0002409,,SOUTH,BlueDart,2022-04-25,,25,0,
SHIP0002410,wh-02,SOUTH,BlueDart,2024-10-11,5,25,1,-100
SHIP0002411,WH02,north ,,2023-10-11,7,3,,500
SHIP0002412,WH01,North,FedEx,2022-01-13,2,10,0,2000
SHIP0002413,wh-02,,FedEx,2024-06-18,2,25,0,15000
SHIP0002414,WH02,North,BlueDart,2023-10-04,7,,1,15000
SHIP0002415,,north ,,2024-03-20,7,10,,500
SHIP0002416,WH01,SOUTH,BlueDart,2022-07-20,7,25,1,
SHIP0002417,wh-02,north ,FedEx,2023-03-28,7,1,0,2000
SHIP0002418,WH01,SOUTH,FedEx,2023-10-27,7,25,0,
SHIP0002419,wh-02,,Delhivery,2022-12-29,5,10,1,-100
SHIP0002420,,North,Delhivery,2023-02-17,2,,0,-100
SHIP0002421,,,DHL,2024-12-29,,10,0,
SHIP0002422,,North,FedEx,2022-02-14,7,25,0,
SHIP0002423,WH01,,FedEx,2024-12-26,7,3,1,
SHIP0002424,,,BlueDart,2024-02-24,,25,0,
SHIP0002425,WH01,,DHL,2023-07-13,5,10,0,15000
SHIP0002426,,north ,FedEx,2022-12-12,7,10,,15000
SHIP0002427,wh-02,,,2022-01-03,2,3,0,2000
SHIP0002428,wh-02,north ,Delhivery,2024-12-15,5,10,0,
SHIP0002429,wh-02,SOUTH,Delhivery,2024-03-17,,3,,15000
SHIP0002430,,north ,BlueDart,2023-05-15,,25,1,-100
SHIP0002431,WH01,north ,BlueDart,2024-12-26,,,0,15000
SHIP0002432,WH02,north ,FedEx,2022-08-16,,25,,15000
SHIP0002433,,SOUTH,BlueDart,2023-06-07,5,10,0,2000
SHIP0002434,wh-02,North,Delhivery,2022-08-19,,1,1,15000
SHIP0002435,wh-02,,Delhivery,2023-10-06,,1,0,-100
SHIP0002436,WH01,north ,Delhivery,2024-02-04,5,1,,500
SHIP0002437,,,,2023-09-09,2,10,1,-100
SHIP0002438,WH01,North,FedEx,2024-03-24,7,1,0,500
SHIP0002439,WH01,North,Delhivery,2022-07-04,2,3,,500
SHIP0002440,WH01,north ,BlueDart,2023-11-07,2,25,0,500
SHIP0002441,,,Delhivery,2023-11-24,,25,0,-100
SHIP0002442,WH02,North,DHL,2023-03-08,5,3,1,-100
SHIP0002443,wh-02,SOUTH,Delhivery,2022-10-28,,,,-100
SHIP0002444,WH02,North,,2022-05-27,2,3,0,2000
SHIP0002445,wh-02,north ,,2022-01-17,5,25,0,
SHIP0002446,wh-02,north ,Delhivery,2024-03-29,,3,,2000
SHIP0002447,,SOUTH,FedEx,2022-01-28,7,3,1,
SHIP0002448,,SOUTH,Delhivery,2022-07-15,2,3,0,2000
SHIP0002449,WH01,,,2022-08-28,7,25,0,
