inventory_id,product_id,warehouse_id,on_hand_qty,reserved_qty,reorder_point,last_restock_date
I000567,P00155,wh-01,-100,10,100,2022-10-12
I000568,P00232,wh-01,0,10,100,2021-06-11
I000569,P00028,,,10,,2021-03-09
I000570,P00242,WH03,50,0,,2024-10-10
I000571,P00193,WH03,50,0,100,2024-12-05
I000572,P00213,WH02,0,100,,2024-02-20
I000573,P00062,WH02,-100,,,2024-09-17
I000574,P00006,WH03,50,10,300,2024-12-12
I000575,P00176,WH03,200,10,300,2024-11-04
I000576,P00230,WH02,99999,100,,2024-09-13
I000577,P00180,,50,0,100,2024-05-14
I000578,P00230,WH03,50,0,500,2021-03-20
I000579,P00041,WH02,99999,100,,2024-07-08
I000580,P00003,,1000,100,300,2024-01-18
I000581,P00111,WH02,0,,500,2021-10-15
I000582,P00090,,99999,0,300,2021-11-13
I000583,P00178,WH02,50,,300,2021-03-14
I000584,P00113,WH02,0,0,300,2021-12-14
I000585,P00170,WH02,,,300,2022-08-07
I000586,P00299,WH03,,,,2021-06-19
I000587,P00203,WH02,99999,100,100,2024-07-07
I000588,P00129,WH02,50,,100,2022-04-02
I000589,P00052,WH03,1000,,500,2023-05-01
I000590,P00248,wh-01,50,10,,2022-03-04
I000591,P00047,,0,,100,2024-11-10
I000592,P00098,WH01,200,0,,2022-08-17
I000593,P00106,WH03,1000,0,,2024-07-13
I000594,P00009,WH03,50,,500,2022-06-01
I000595,P00278,WH02,50,10,300,2021-01-11
I000596,P00076,WH01,50,100,300,2022-03-20
I000597,P00079,wh-01,200,,,2024-10-23
I000598,P00167,wh-01,200,,,2021-05-10
I000599,P00154,WH03,,,100,2021-11-22
I000600,P00257,WH01,200,10,500,2024-11-24
I000601,P00212,WH02,50,,500,2021-09-22
I000602,P00199,wh-01,99999,,,2024-11-06
I000603,P00236,,,,100,2023-12-23
I000604,P00163,WH01,200,100,500,2024-08-26
I000605,P00095,WH01,,,,2022-08-07
I000606,P00282,WH01,1000,100,300,2022-11-03
I000607,P00275,WH02,50,100,500,2024-12-02
I000608,P00072,,0,100,100,2023-05-26
I000609,P00023,,1000,0,100,2022-02-04
I000610,P00055,,99999,0,300,2022-12-16
I000611,P00171,WH02,-100,,100,2022-03-09
I000612,P00097,WH02,,10,500,2023-05-05
I000613,P00082,,50,100,300,2022-10-11
I000614,P00193,,1000,100,100,2024-07-04
I000615,P00219,WH02,200,0,500,2021-09-08
I000616,P00020,WH02,,100,300,2023-07-04
I000617,P00096,WH01,99999,10,,2024-06-18
I000618,P00227,,99999,10,300,2023-10-11
I000619,P00282,WH03,1000,,,2022-08-14
I000620,P00288,,-100,,100,2022-03-11
I000621,P00019,WH03,,100,,2022-12-21
I000622,P00202,wh-01,200,10,,2021-10-31
I000623,P00297,WH03,200,100,,2022-07-30
I000624,P00159,WH02,-100,0,,2023-01-04
I000625,P00184,wh-01,1000,0,100,2023-03-16
I000626,P00150,,200,0,100,2023-11-26
I000627,P00108,WH03,-100,100,100,2023-07-03
I000628,P00263,WH01,-100,,,2024-04-25
I000629,P00013,WH01,-100,0,100,2021-07-06
I000630,P00207,WH01,,100,100,2024-01-13
I000631,P00292,WH02,0,,,2022-07-31
I000632,P00273,WH02,0,,500,2021-01-01
I000633,P00228,WH02,99999,0,300,2023-10-20
I000634,P00229,wh-01,,0,,2021-12-11
I000635,P00237,WH03,-100,0,,2022-09-29
I000636,P00277,,50,100,,2024-07-31
I000637,P00112,WH03,-100,10,100,2022-05-17
I000638,P00165,wh-01,99999,100,,2024-05-16
I000639,P00282,WH01,99999,100,300,2021-07-28
I000640,P00029,wh-01,99999,,100,2022-07-14
I000641,P00104,wh-01,50,,500,2024-03-07
I000642,P00124,WH01,200,10,300,2023-04-16
I000643,P00289,wh-01,1000,100,300,2022-11-01
I000644,P00141,WH02,50,10,500,2023-04-14
I000645,P00108,,1000,0,100,2022-03-26
I000646,P00118,WH02,50,,,2021-10-27
I000647,P00260,,1000,0,500,2024-10-03
I000648,P00036,wh-01,200,,,2022-04-12
I000649,P00030,wh-01,200,100,100,2024-10-25
I000650,P00066,,200,10,,2024-10-22
I000651,P00197,,,,500,2023-08-27
I000652,P00183,WH01,-100,0,300,2022-12-12
I000653,P00011,WH02,50,0,300,2022-05-05
I000654,P00101,WH01,99999,,300,2024-01-15
I000655,P00069,WH03,0,10,100,2024-03-27
I000656,P00103,,0,,100,2022-12-26
I000657,P00299,,-100,100,300,2022-12-23
I000658,P00036,WH01,50,100,300,2023-12-26
I000659,P00162,WH03,1000,,,2021-05-23
I000660,P00091,WH02,99999,0,,2022-06-04
I000661,P00074,wh-01,-100,10,100,2021-02-13
I000662,P00130,WH02,99999,100,500,2022-12-11
I000663,P00070,WH03,1000,,,2021-05-07
I000664,P00197,,50,100,,2021-01-08
I000665,P00006,wh-01,99999,10,100,2023-06-25
I000666,P00130,WH01,0,10,100,2023-08-08
I000667,P00283,,1000,100,300,2022-06-15
I000668,P00100,WH03,50,0,100,2021-01-19
I000669,P00221,WH02,0,,,2022-10-31
I000670,P00300,wh-01,,100,,2024-10-11
I000671,P00023,WH01,50,0,100,2024-08-25
I000672,P00245,wh-01,1000,0,500,2021-06-15
I000673,P00003,WH03,0,10,300,2023-01-31
I000674,P00111,wh-01,0,100,100,2021-01-14
I000675,P00290,wh-01,0,100,500,2024-05-07
I000676,P00257,wh-01,-100,100,500,2024-07-07
I000677,P00044,,50,,500,2022-03-15
I000678,P00123,WH01,,100,100,2023-01-10
I000679,P00121,wh-01,50,,100,2024-05-15
I000680,P00185,WH03,50,,100,2021-06-13
I000681,P00180,WH01,200,10,100,2024-04-19
I000682,P00092,WH03,1000,0,300,2021-02-14
I000683,P00015,WH02,200,,,2024-12-23
I000684,P00055,WH01,50,,,2022-08-04
I000685,P00035,WH01,,0,100,2024-10-10
I000686,P00189,WH01,99999,,,2021-07-30
I000687,P00164,wh-01,1000,,100,2024-11-18
I000688,P00294,WH03,50,10,500,2023-09-02
I000689,P00244,WH01,200,,,2023-10-19
I000690,P00267,wh-01,-100,100,,2021-09-09
I000691,P00245,WH03,200,10,100,2021-05-22
I000692,P00043,WH01,200,0,100,2023-09-21
I000693,P00230,wh-01,0,0,300,2021-11-23
I000694,P00203,wh-01,1000,,100,2024-09-16
I000695,P00060,wh-01,50,100,300,2024-12-20
I000696,P00271,wh-01,200,,300,2023-01-03
I000697,P00158,WH03,1000,,100,2024-10-25
I000698,P00151,,50,10,300,2024-08-08
I000699,P00229,WH02,1000,100,300,2021-10-25
I000700,P00113,,99999,10,300,2024-09-17
I000701,P00280,,99999,,100,2021-02-16
I000702,P00151,wh-01,,0,100,2024-09-29
I000703,P00210,WH03,0,100,100,2022-05-19
I000704,P00144,WH02,0,0,500,2023-03-08
I000705,P00131,,200,0,100,2023-12-14
I000706,P00090,,1000,,500,2022-07-16
I000707,P00222,,1000,0,500,2024-01-01
I000708,P00179,,1000,0,,2024-12-10
I000709,P00196,WH02,-100,10,300,2022-01-25
I000710,P00132,WH02,99999,10,100,2021-10-02
I000711,P00095,,99999,,300,2022-07-24
I000712,P00248,WH03,200,100,100,2022-12-09
I000713,P00266,WH02,1000,100,500,2022-09-12
I000714,P00155,WH03,99999,,300,2023-09-11
I000715,P00023,,99999,,,2022-11-17
I000716,P00021,wh-01,50,,300,2023-05-25
I000717,P00252,wh-01,0,10,,2021-06-29
I000718,P00001,,1000,0,,2023-09-16
I000719,P00133,WH03,0,100,100,2022-07-24
I000720,P00248,WH02,0,100,,2024-03-15
I000721,P00010,WH02,50,,100,2023-09-24
I000722,P00174,WH01,200,0,300,2024-09-17
I000723,P00267,wh-01,,,100,2021-04-21
I000724,P00097,wh-01,200,,300,2023-04-06
I000725,P00285,WH01,50,0,,2022-01-10
I000726,P00038,WH02,-100,0,300,2024-12-16
I000727,P00137,WH02,50,0,,2024-09-27
I000728,P00229,WH03,200,10,500,2024-09-14
I000729,P00255,WH02,99999,,500,2021-12-13
I000730,P00115,WH01,1000,0,300,2021-06-07
I000731,P00102,WH01,,100,500,2023-10-24
I000732,P00261,WH01,1000,10,100,2022-03-07
I000733,P00148,WH01,-100,,100,2024-02-10
I000734,P00235,WH01,99999,10,100,2024-04-13
I000735,P00226,WH01,,,500,2022-11-21
I000736,P00069,wh-01,-100,10,500,2023-01-18
I000737,P00261,WH01,-100,,300,2024-01-08
I000738,P00268,WH02,1000,100,100,2022-07-01
I000739,P00150,wh-01,,0,500,2021-04-23
I000740,P00144,WH01,,100,100,2022-03-31
I000741,P00067,,,10,500,2022-10-28
I000742,P00283,WH03,-100,,500,2021-03-30
I000743,P00296,WH02,99999,100,500,2022-05-03
I000744,P00233,,1000,,,2022-07-21
I000745,P00126,WH02,,0,,2023-03-23
I000746,P00159,WH01,50,100,300,2022-11-27
I000747,P00049,WH01,,0,300,2021-10-30
I000748,P00063,,200,10,500,2023-04-23
I000749,P00160,WH01,,,500,2021-02-17
I000750,P00241,WH03,0,,300,2022-04-21
I000751,P00203,,,,500,2024-02-22
I000752,P00106,WH02,200,0,500,2023-02-12
I000753,P00001,WH02,,100,100,2022-10-03
I000754,P00240,,,0,,2022-08-09
I000755,P00123,wh-01,50,,500,2021-02-26
I000756,P00114,WH03,50,0,300,2024-07-02
I000757,P00012,WH01,200,10,500,2023-02-25
I000758,P00061,wh-01,0,0,300,2024-02-01
I000759,P00178,wh-01,0,,100,2023-07-02
I000760,P00283,WH02,99999,,100,2023-06-04
I000761,P00192,WH03,99999,,100,2024-07-02
I000762,P00067,wh-01,50,0,,2022-10-11
I000763,P00023,WH02,99999,0,500,2024-10-24
I000764,P00234,WH01,200,,,2022-11-13
I000765,P00212,wh-01,0,10,,2022-12-29
I000766,P00179,,50,,500,2023-12-17
I000767,P00034,WH03,0,0,500,2024-04-27
I000768,P00184,wh-01,-100,0,300,2021-11-02
I000769,P00162,WH02,99999,0,500,2022-06-26
I000770,P00258,WH02,200,10,,2024-10-22
I000771,P00082,wh-01,50,,300,2022-10-27
I000772,P00285,WH03,0,,300,2022-06-03
I000773,P00112,WH02,1000,10,500,2024-03-30
I000774,P00020,WH02,,0,500,2024-03-28
I000775,P00028,WH01,99999,0,300,2022-01-23
I000776,P00141,WH02,99999,10,,2022-09-10
I000777,P00074,WH02,0,100,100,2022-06-27
I000778,P00178,wh-01,50,100,100,2022-12-26
I000779,P00286,WH03,,100,100,2022-04-04
I000780,P00178,WH01,50,10,300,2023-08-12
I000781,P00176,wh-01,-100,100,,2024-03-26
I000782,P00163,,,100,300,2023-03-08
I000783,P00091,WH03,1000,0,300,2023-01-21
I000784,P00174,WH03,0,0,500,2021-02-13
I000785,P00010,WH01,50,100,100,2024-04-19
I000786,P00238,wh-01,50,100,500,2022-08-13
I000787,P00078,WH03,1000,,100,2024-08-15
I000788,P00019,wh-01,99999,,300,2023-04-27
I000789,P00201,WH01,,0,500,2022-10-09
I000790,P00265,wh-01,-100,10,500,2021-07-25
I000791,P00264,WH02,200,0,500,2021-09-26
I000792,P00211,WH01,99999,10,100,2022-03-09
I000793,P00239,,1000,,500,2021-07-23
I000794,P00012,WH01,0,,100,2023-04-19
I000795,P00095,WH03,99999,0,500,2022-07-22
I000796,P00179,WH01,99999,100,300,2021-04-04
I000797,P00160,,99999,,100,2023-02-26
I000798,P00287,WH01,1000,,,2021-11-24
I000799,P00292,WH01,-100,,300,2023-06-18
I000800,P00208,WH01,99999,0,300,2023-10-24
I000801,P00146,wh-01,,100,,2023-04-14
I000802,P00096,WH03,0,10,100,2024-03-24
I000803,P00278,wh-01,1000,,500,2023-05-10
I000804,P00198,WH03,200,10,500,2021-03-27
I000805,P00053,,99999,10,300,2021-04-05
I000806,P00073,WH02,200,100,,2023-10-10
I000807,P00030,WH03,0,0,100,2023-04-26
I000808,P00127,WH02,1000,0,,2024-04-10
I000809,P00085,WH02,0,0,300,2022-04-20
I000810,P00067,WH03,50,,100,2023-12-23
I000811,P00184,WH03,0,10,,2023-08-25
I000812,P00081,,200,100,100,2024-01-14
I000813,P00051,WH03,99999,0,500,2022-09-17
I000814,P00242,,,100,100,2023-04-19
I000815,P00065,wh-01,-100,100,300,2021-04-26
I000816,P00267,WH01,200,100,100,2021-12-15
I000817,P00243,,50,,300,2023-08-01
I000818,P00141,,1000,,300,2023-09-27
I000819,P00058,,,,100,2022-01-15
I000820,P00146,WH02,50,100,,2023-03-04
I000821,P00112,WH02,1000,10,100,2022-03-05
I000822,P00110,WH02,0,,100,2024-01-28
I000823,P00079,wh-01,200,0,500,2021-04-22
I000824,P00261,WH02,,100,,2021-05-17
I000825,P00208,wh-01,99999,100,300,2021-06-28
I000826,P00047,wh-01,0,10,500,2021-03-22
I000827,P00287,WH02,0,0,,2024-12-06
I000828,P00261,WH03,99999,,100,2021-06-09
I000829,P00136,WH02,200,100,300,2024-05-31
I000830,P00108,WH02,-100,100,100,2021-04-20
I000831,P00046,WH03,99999,100,100,2024-05-10
I000832,P00215,wh-01,99999,100,,2024-05-21
I000833,P00300,WH01,0,,300,2023-07-10
I000834,P00012,wh-01,200,0,100,2022-03-22
I000835,P00280,WH01,50,,100,2023-03-15
I000836,P00199,,-100,,500,2022-06-24
I000837,P00263,wh-01,1000,10,300,2023-01-24
I000838,P00238,WH01,-100,0,500,2022-01-29
I000839,P00186,WH01,-100,0,500,2024-03-12
I000840,P00165,,99999,10,300,2022-01-12
I000841,P00044,WH02,0,100,,2022-01-21
I000842,P00036,WH01,-100,100,100,2023-06-07
I000843,P00284,WH02,50,0,500,2021-10-18
I000844,P00099,,0,,,2023-03-13
I000845,P00004,WH03,99999,100,500,2021-10-01
I000846,P00028,WH03,99999,,500,2021-07-18
I000847,P00235,,0,,300,2022-02-17
I000848,P00223,WH02,50,100,300,2024-07-16
I000849,P00208,wh-01,200,10,,2023-08-28
I000850,P00241,WH03,200,0,100,2023-03-31
I000851,P00188,wh-01,-100,,100,2021-11-19
I000852,P00045,WH01,1000,,,2024-01-04
I000853,P00141,wh-01,0,0,100,2024-02-17
I000854,P00007,WH03,0,,500,2021-12-04
I000855,P00229,WH01,50,100,100,2024-03-03
I000856,P00261,WH01,0,,100,2021-12-25
I000857,P00110,WH03,50,100,300,2023-06-21
I000858,P00054,WH03,-100,10,500,2024-05-01
I000859,P00034,WH03,99999,0,100,2023-10-08
I000860,P00186,WH02,,,300,2022-06-16
I000861,P00079,WH01,1000,,500,2022-03-15
I000862,P00238,WH02,99999,,100,2024-03-20
I000863,P00282,wh-01,1000,,500,2021-02-07
I000864,P00202,WH02,200,10,100,2024-10-11
I000865,P00134,wh-01,200,,,2023-10-11
I000866,P00053,,200,0,500,2022-05-01
I000867,P00213,WH01,200,,500,2023-09-27
I000868,P00098,WH03,-100,10,500,2021-01-24
I000869,P00043,wh-01,50,,500,2022-04-18
I000870,P00123,,50,100,500,2023-05-31
I000871,P00146,wh-01,200,,100,2023-09-11
I000872,P00044,WH03,1000,10,100,2024-05-22
I000873,P00063,WH02,-100,10,,2023-09-11
I000874,P00252,WH02,0,10,300,2023-04-10
I000875,P00086,WH02,99999,10,300,2023-01-11
I000876,P00111,,99999,,100,2022-06-07
I000877,P00155,,1000,0,300,2024-10-31
I000878,P00056,WH02,0,,,2022-10-31
I000879,P00249,WH02,0,0,,2023-04-15
I000880,P00291,wh-01,-100,100,,2023-08-29
I000881,P00277,wh-01,0,10,500,2021-09-29
I000882,P00183,WH02,0,100,500,2024-10-13
I000883,P00151,wh-01,-100,,300,2021-01-24
I000884,P00026,WH03,,0,300,2021-01-23
I000885,P00039,WH02,1000,100,500,2023-06-27
I000886,P00146,WH02,-100,0,300,2024-06-30
I000887,P00244,,200,10,,2021-12-22
I000888,P00264,,99999,10,500,2021-05-18
I000889,P00005,,50,0,100,2021-02-25
I000890,P00261,,50,,100,2022-10-28
I000891,P00008,WH01,200,,300,2023-01-18
I000892,P00216,,1000,,300,2023-08-08
I000893,P00162,wh-01,50,0,300,2023-09-05
I000894,P00223,WH03,200,,300,2024-02-08
I000895,P00112,WH01,200,0,100,2021-04-18
I000896,P00248,,99999,0,,2021-03-06
I000897,P00065,WH02,0,0,,2024-11-30
I000898,P00148,WH03,50,0,,2024-05-19
I000899,P00216,wh-01,99999,,300,2022-12-01
I000900,P00161,wh-01,99999,0,300,2024-02-12
I000901,P00068,WH02,200,,500,2024-09-06
I000902,P00278,WH03,1000,,500,2021-08-11
I000903,P00156,WH01,50,,500,2024-02-15
I000904,P00094,,1000,10,100,2021-03-03
I000905,P00221,,-100,100,300,2021-08-25
I000906,P00183,,-100,0,,2021-06-19
I000907,P00258,,200,,500,2021-08-05
I000908,P00223,WH02,99999,100,,2021-05-08
I000909,P00201,WH02,-100,10,500,2021-11-28
I000910,P00140,WH03,,10,100,2024-01-24
I000911,P00294,wh-01,99999,100,300,2024-09-02
I000912,P00148,WH01,50,0,100,2024-05-04
I000913,P00035,,99999,,100,2023-10-12
I000914,P00181,WH01,99999,,100,2021-11-08
I000915,P00063,wh-01,,100,100,2021-04-25
I000916,P00026,,0,100,,2022-06-22
I000917,P00164,WH01,0,100,100,2023-08-14
I000918,P00078,WH02,1000,10,,2021-01-31
I000919,P00087,,1000,0,,2024-05-13
I000920,P00232,WH03,99999,100,500,2022-06-27
I000921,P00078,wh-01,-100,10,300,2023-02-24
I000922,P00223,WH03,0,10,,2023-01-27
I000923,P00166,wh-01,,10,,2024-06-03
I000924,P00214,WH02,0,100,100,2023-07-03
I000925,P00152,WH01,-100,0,,2021-05-02
I000926,P00200,wh-01,50,100,,2024-11-19
I000927,P00107,wh-01,200,10,500,2023-01-03
I000928,P00006,WH03,50,10,500,2024-04-23
I000929,P00166,WH02,-100,10,500,2024-08-31
I000930,P00121,WH02,,,,2024-07-11
I000931,P00041,,50,0,100,2024-02-28
I000932,P00142,WH01,99999,,100,2021-05-31
I000933,P00276,wh-01,200,0,300,2021-05-10
I000934,P00079,WH02,99999,,100,2022-09-27
I000935,P00109,wh-01,1000,,300,2024-02-07
I000936,P00271,WH01,200,10,100,2021-04-17
I000937,P00012,WH02,50,0,100,2024-04-28
I000938,P00216,,50,100,500,2023-10-07
I000939,P00097,WH01,1000,10,100,2024-02-18
I000940,P00037,wh-01,0,10,,2022-01-13
I000941,P00077,WH02,99999,0,100,2022-11-27
I000942,P00230,,0,100,100,2021-05-23
I000943,P00093,WH03,1000,,500,2023-06-23
I000944,P00128,,1000,100,500,2022-07-29
I000945,P00008,wh-01,1000,100,100,2021-11-17
I000946,P00154,WH02,1000,0,300,2023-03-08
I000947,P00067,wh-01,0,0,300,2022-07-12
I000948,P00002,WH02,200,,300,2022-03-25
I000949,P00159,WH02,200,,100,2022-05-03
I000950,P00090,WH03,1000,10,100,2023-12-05
I000951,P00105,wh-01,200,,500,2024-11-07
I000952,P00156,WH02,,,500,2023-04-04
I000953,P00061,WH01,0,10,100,2022-11-21
I000954,P00293,,200,0,100,2023-11-03
I000955,P00005,WH02,50,,300,2024-03-08
I000956,P00239,WH03,99999,,,2021-04-09
I000957,P00213,wh-01,0,,300,2023-03-09
I000958,P00059,wh-01,0,,300,2022-05-20
I000959,P00141,WH02,50,100,500,2023-03-04
I000960,P00244,wh-01,99999,,300,2021-03-03
I000961,P00232,WH03,,,500,2023-07-30
I000962,P00072,WH01,200,0,500,2022-02-03
I000963,P00035,wh-01,,0,100,2023-05-31
I000964,P00211,wh-01,,10,500,2024-11-18
I000965,P00148,WH02,1000,10,,2023-09-23
I000966,P00162,wh-01,200,0,100,2022-11-26
I000967,P00005,,,100,300,2022-10-24
I000968,P00015,WH03,99999,10,,2024-06-09
I000969,P00010,WH01,1000,,300,2023-03-15
I000970,P00204,WH02,0,10,100,2022-09-23
I000971,P00129,WH03,99999,,300,2023-02-12
I000972,P00042,WH01,1000,0,500,2023-11-17
I000973,P00139,WH01,0,0,,2024-05-05
I000974,P00093,wh-01,50,0,300,2024-07-05
I000975,P00079,WH03,50,,500,2023-01-14
I000976,P00204,wh-01,1000,0,,2021-07-19
I000977,P00241,WH03,0,100,100,2024-10-19
I000978,P00225,WH03,0,100,,2024-07-24
I000979,P00238,WH01,50,10,,2023-12-04
I000980,P00183,wh-01,-100,100,300,2021-07-17
I000981,P00124,WH03,0,,300,2024-08-19
I000982,P00081,WH02,0,0,500,2024-12-17
I000983,P00120,WH03,-100,100,300,2021-09-07
I000984,P00241,,0,,300,2023-11-29
I000985,P00135,,99999,0,,2022-10-10
I000986,P00121,WH01,50,10,100,2021-12-07
I000987,P00077,wh-01,99999,,500,2024-10-24
I000988,P00209,WH02,-100,100,500,2022-03-29
I000989,P00080,,200,0,500,2022-06-11
I000990,P00261,WH01,0,10,500,2022-03-26
I000991,P00187,wh-01,0,,300,2022-11-14
I000992,P00263,,200,,500,2021-03-02
I000993,P00222,WH03,50,100,100,2024-06-09
I000994,P00160,WH02,50,100,,2024-02-22
I000995,P00057,WH01,1000,10,100,2021-02-02
I000996,P00085,WH01,200,100,300,2022-02-02
I000997,P00040,WH01,0,0,300,2021-07-02
I000998,P00228,WH01,200,100,500,2022-02-21
I000999,P00125,WH01,-100,,100,2022-04-16
I001000,P00027,WH01,0,10,500,2022-01-18
I001001,P00034,WH01,200,10,300,2024-09-02
I001002,P00048,WH02,1000,,500,2023-11-12
I001003,P00064,,,0,300,2021-08-20
I001004,P00259,wh-01,50,0,500,2024-12-17
I001005,P00091,wh-01,99999,0,300,2021-07-21
I001006,P00195,WH02,1000,100,300,2021-12-14
I001007,P00196,,-100,0,300,2024-04-29
I001008,P00160,WH01,0,0,100,2021-03-15
I001009,P00086,,0,10,500,2022-01-31
I001010,P00023,WH02,50,10,500,2024-10-25
I001011,P00246,WH01,50,100,100,2024-07-16
I001012,P00109,WH03,1000,10,300,2023-10-17
I001013,P00077,WH02,-100,,300,2024-01-12
I001014,P00193,WH02,,,,2021-01-29
I001015,P00237,WH03,1000,100,300,2024-08-12
I001016,P00176,wh-01,1000,100,300,2024-09-10
I001017,P00052,WH02,-100,10,300,2024-01-25
I001018,P00241,WH01,,0,100,2022-10-29
I001019,P00192,wh-01,50,0,,2024-05-22
I001020,P00243,WH01,-100,0,100,2023-01-31
I001021,P00139,WH02,99999,,500,2023-08-29
I001022,P00236,WH02,200,,500,2022-10-22
I001023,P00077,wh-01,0,10,100,2023-01-08
I001024,P00250,WH01,50,,100,2023-04-12
I001025,P00276,WH03,0,,300,2024-09-10
I001026,P00153,WH03,,100,500,2021-06-03
I001027,P00083,WH02,-100,0,,2022-11-04
I001028,P00224,WH03,,10,,2022-01-25
I001029,P00007,WH02,50,0,500,2023-04-17
I001030,P00002,WH03,99999,100,100,2022-02-07
I001031,P00024,WH02,1000,0,500,2023-10-17
I001032,P00153,WH01,0,100,300,2023-03-13
I001033,P00281,WH01,-100,,,2023-07-27
I001034,P00133,WH01,-100,100,300,2022-02-14
I001035,P00081,,-100,100,300,2023-05-19
I001036,P00121,wh-01,-100,100,100,2023-08-25
I001037,P00280,,0,,,2022-03-05
I001038,P00178,WH02,99999,,100,2022-07-23
I001039,P00218,WH03,50,100,300,2021-04-28
I001040,P00254,WH01,0,0,500,2022-10-25
I001041,P00258,,50,100,500,2024-12-07
I001042,P00201,WH02,1000,10,500,2021-11-30
I001043,P00277,WH02,99999,,500,2023-09-16
I001044,P00285,WH01,-100,,,2024-11-12
I001045,P00279,wh-01,200,,,2021-12-17
I001046,P00071,WH03,99999,100,500,2022-07-08
I001047,P00259,,1000,,500,2023-02-08
I001048,P00062,WH01,50,0,,2022-07-05
I001049,P00061,,50,10,300,2023-03-19
I001050,P00234,wh-01,200,,100,2023-10-18
I001051,P00022,wh-01,0,100,300,2021-09-30
I001052,P00097,WH02,50,,,2021-04-11
I001053,P00283,WH02,200,10,,2022-10-31
I001054,P00151,WH01,,,300,2024-08-03
I001055,P00068,wh-01,99999,,300,2024-02-28
I001056,P00258,WH03,,0,500,2023-06-11
I001057,P00095,WH03,200,0,100,2022-06-29
I001058,P00250,WH01,200,,100,2023-11-16
I001059,P00034,WH02,200,0,,2023-12-30
I001060,P00105,wh-01,1000,,300,2021-03-04
I001061,P00214,WH01,-100,10,,2021-05-16
I001062,P00162,WH02,200,10,100,2022-11-02
I001063,P00063,WH02,50,,,2024-04-22
I001064,P00197,,,0,300,2024-10-18
I001065,P00092,wh-01,,100,500,2021-06-30
I001066,P00169,WH01,200,100,100,2024-07-15
I001067,P00182,WH01,-100,0,500,2024-11-02
I001068,P00126,WH01,200,100,,2022-05-19
I001069,P00203,WH01,99999,100,300,2023-11-27
I001070,P00163,,1000,0,,2022-04-04
I001071,P00161,WH02,200,0,100,2022-01-26
I001072,P00246,WH01,0,100,100,2022-11-08
I001073,P00164,,50,0,,2024-11-02
I001074,P00089,WH01,50,0,300,2021-08-17
I001075,P00046,,50,10,500,2023-08-09
I001076,P00202,WH01,,,500,2022-11-21
I001077,P00091,WH01,-100,10,300,2022-06-11
I001078,P00253,wh-01,0,0,500,2023-05-24
I001079,P00086,WH03,99999,,500,2021-08-31
I001080,P00107,WH03,99999,100,,2021-08-18
I001081,P00122,WH03,50,0,100,2022-03-05
I001082,P00173,WH01,1000,10,300,2022-12-09
I001083,P00142,wh-01,1000,100,100,2024-07-25
I001084,P00266,WH02,1000,,,2024-04-19
I001085,P00159,,1000,10,300,2021-06-06
I001086,P00165,wh-01,-100,0,,2023-04-16
I001087,P00266,WH03,99999,100,500,2024-04-27
I001088,P00134,WH02,-100,100,100,2022-08-24
I001089,P00133,WH03,,0,,2021-11-23
I001090,P00152,,200,,,2023-11-18
I001091,P00176,WH01,-100,10,300,2023-10-25
I001092,P00263,WH02,99999,10,100,2021-10-27
I001093,P00213,WH03,50,0,500,2021-01-22
I001094,P00227,WH02,50,100,,2023-08-10
I001095,P00120,WH03,,10,,2024-09-28
I001096,P00036,WH03,-100,,300,2021-08-30
I001097,P00204,wh-01,,10,300,2024-03-21
I001098,P00078,WH02,-100,0,500,2024-10-08
I001099,P00085,WH01,1000,0,,2024-02-03
I001100,P00082,WH01,50,100,300,2024-12-23
I001101,P00159,WH01,-100,10,300,2023-11-25
I001102,P00159,,50,0,500,2021-11-14
I001103,P00004,wh-01,50,100,500,2021-12-05
I001104,P00039,,,0,300,2024-01-02
I001105,P00211,WH02,-100,10,100,2021-03-21
I001106,P00241,WH02,,0,300,2023-03-03
I001107,P00172,WH03,0,100,,2021-09-25
I001108,P00043,,,100,300,2023-09-16
I001109,P00080,,1000,0,300,2024-09-17
I001110,P00107,wh-01,200,,500,2021-03-19
I001111,P00019,WH03,50,,100,2023-01-31
I001112,P00084,wh-01,,100,100,2022-05-19
I001113,P00186,WH02,0,,100,2024-12-30
I001114,P00181,WH02,0,100,,2023-07-24
I001115,P00250,wh-01,,,300,2021-09-27
I001116,P00080,WH01,50,,300,2024-09-26
I001117,P00068,wh-01,1000,,500,2023-02-12
I001118,P00174,WH02,99999,100,500,2024-08-02
I001119,P00031,WH02,200,,100,2023-07-21
I001120,P00167,wh-01,50,100,500,2021-07-19
I001121,P00120,,1000,0,,2022-07-19
I001122,P00126,wh-01,99999,100,500,2023-12-28
I001123,P00014,WH02,0,10,500,2021-04-05
I001124,P00287,WH03,99999,100,100,2021-10-22
I001125,P00218,WH01,200,100,300,2023-05-21
I001126,P00267,WH02,200,,500,2023-03-11
I001127,P00237,WH02,0,,500,2022-03-22
I001128,P00224,WH02,0,0,,2024-10-12
I001129,P00218,WH02,0,10,500,2023-02-17
I001130,P00184,WH03,99999,10,100,2021-07-08
I001131,P00190,WH02,0,,,2022-12-11
I001132,P00287,wh-01,-100,10,500,2024-08-22
I001133,P00127,wh-01,,0,500,2023-11-13
I001134,P00060,WH03,-100,10,300,2022-09-17
I001135,P00160,WH02,1000,100,300,2024-09-12
I001136,P00092,WH03,99999,10,500,2021-08-31
